sequenceID,topHit,topHitRank,decisionClass,publicationBucket,markerProfile,exactMatchGate,ambiguityLcaGate,barcodeGapGate,diagnosticKmerGate,markerProfileGate,occurrenceCoreGate,dnaMetadataGate,assayGate,hardGateViolation,auditConclusion
ADV100-001-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-002-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-003-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-004-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-005-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-006-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-007-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-008-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-009-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-010-true_species_safe_positive,Aedes albopictus,species,species-safe,publishable_candidate,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-011-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-012-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-013-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-014-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-015-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-016-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-017-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-018-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-019-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-020-close_sibling_ambiguity,Aedes albopictus,species,genus-safe,publishable_candidate,coi_full_barcode,pass,fail,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-021-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-022-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-023-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-024-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-025-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-026-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-027-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-028-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-029-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-030-weak_coverage_short_fragment,Aedes albopictus,species,weak,repair_required,coi_full_barcode,fail,pass,pass,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-031-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-032-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-033-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-034-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-035-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-036-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-037-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-038-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-039-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-040-no_match_novel_lineage,,,no-match,repair_required,coi_full_barcode,fail,fail,not_evaluated,not_evaluated,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-041-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-042-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-043-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-044-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-045-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-046-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-047-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-048-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-049-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-050-metadata_blocked_taxonomy_safe,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-051-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-052-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-053-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-054-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-055-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-056-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-057-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-058-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-059-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-060-assay_control_failure,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,pass,pass,fail,False,pass: fail-closed rules preserved
ADV100-061-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-062-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-063-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-064-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-065-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-066-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-067-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-068-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-069-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-070-wrong_taxonomy_name_conflict,Aedes albopictus,species,not-publishable,repair_required,coi_full_barcode,pass,pass,pass,pass,pass,fail,pass,pass,False,pass: fail-closed rules preserved
ADV100-071-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-072-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-073-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-074-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-075-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-076-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-077-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-078-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-079-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-080-genome_segment_non_barcode_marker,Aedes albopictus,species,genus-safe,publishable_candidate,custom_research,pass,fail,pass,pass,fail,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-081-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-082-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-083-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-084-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-085-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-086-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-087-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-088-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-089-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-090-negative_barcode_gap,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,fail,pass,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-091-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-092-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-093-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-094-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-095-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-096-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-097-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-098-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-099-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
ADV100-100-missing_diagnostic_kmer,Aedes albopictus,species,ambiguous,repair_required,coi_full_barcode,pass,pass,pass,missing,pass,pass,pass,pass,False,pass: fail-closed rules preserved
