sequenceID,naiveClaim,naiveRank,compilerDecision,safeTaxon,safeRank,publishedTaxon,publishedRank,reason
COMP100-026-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-027-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-028-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-029-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-030-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-031-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-032-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-033-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-034-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-035-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-036-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-037-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-038-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-039-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-040-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-041-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-042-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-043-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-044-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-045-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-046-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-047-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-048-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-049-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-050-genus_safe_ambiguous,Aedes albopictus,species,genus-safe,Aedes,genus,Aedes,genus,species claim blocked: statistically indistinguishable competitors collapse the safe rank to genus
COMP100-051-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-052-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-053-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-054-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-055-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-056-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-057-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-058-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-059-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-060-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-061-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-062-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-063-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-064-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-065-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-066-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-067-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-068-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-069-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-070-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-071-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-072-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-073-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-074-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-075-weak_coverage,Aedes albopictus,species,weak,Aedes albopictus,species,None,none,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%; species claim blocked: query coverage < 80%
COMP100-076-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-077-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-078-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-079-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-080-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-081-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-082-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-083-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-084-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-085-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-086-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-087-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-088-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-089-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-090-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-091-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-092-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-093-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-094-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-095-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-096-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-097-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-098-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-099-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
COMP100-100-metadata_blocked,Aedes albopictus,species,not-publishable,Aedes albopictus,species,None,none,publication blocked: missing required Occurrence core field occurrenceID; publication blocked: missing required Occurrence core field eventDate
