segmentID,sequenceID,segmentHash,uncertaintySetTaxa,safeTaxon,safeRank,candidateTaxon,candidateRank,lcaCheck,decisionClass,claimState
segment:COMP100-001-species_safe:1-622,COMP100-001-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-002-species_safe:1-622,COMP100-002-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-003-species_safe:1-622,COMP100-003-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-004-species_safe:1-622,COMP100-004-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-005-species_safe:1-622,COMP100-005-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-006-species_safe:1-622,COMP100-006-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-007-species_safe:1-622,COMP100-007-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-008-species_safe:1-622,COMP100-008-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-009-species_safe:1-622,COMP100-009-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-010-species_safe:1-622,COMP100-010-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-011-species_safe:1-622,COMP100-011-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-012-species_safe:1-622,COMP100-012-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-013-species_safe:1-622,COMP100-013-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-014-species_safe:1-622,COMP100-014-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-015-species_safe:1-622,COMP100-015-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-016-species_safe:1-622,COMP100-016-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-017-species_safe:1-622,COMP100-017-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-018-species_safe:1-622,COMP100-018-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-019-species_safe:1-622,COMP100-019-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-020-species_safe:1-622,COMP100-020-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-021-species_safe:1-622,COMP100-021-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-022-species_safe:1-622,COMP100-022-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-023-species_safe:1-622,COMP100-023-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-024-species_safe:1-622,COMP100-024-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-025-species_safe:1-622,COMP100-025-species_safe,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,species-safe,taxon_supported
segment:COMP100-026-genus_safe_ambiguous:1-622,COMP100-026-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-027-genus_safe_ambiguous:1-622,COMP100-027-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-028-genus_safe_ambiguous:1-622,COMP100-028-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-029-genus_safe_ambiguous:1-622,COMP100-029-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-030-genus_safe_ambiguous:1-622,COMP100-030-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-031-genus_safe_ambiguous:1-622,COMP100-031-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-032-genus_safe_ambiguous:1-622,COMP100-032-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-033-genus_safe_ambiguous:1-622,COMP100-033-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-034-genus_safe_ambiguous:1-622,COMP100-034-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-035-genus_safe_ambiguous:1-622,COMP100-035-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-036-genus_safe_ambiguous:1-622,COMP100-036-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-037-genus_safe_ambiguous:1-622,COMP100-037-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-038-genus_safe_ambiguous:1-622,COMP100-038-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-039-genus_safe_ambiguous:1-622,COMP100-039-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-040-genus_safe_ambiguous:1-622,COMP100-040-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-041-genus_safe_ambiguous:1-622,COMP100-041-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-042-genus_safe_ambiguous:1-622,COMP100-042-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-043-genus_safe_ambiguous:1-622,COMP100-043-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-044-genus_safe_ambiguous:1-622,COMP100-044-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-045-genus_safe_ambiguous:1-622,COMP100-045-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-046-genus_safe_ambiguous:1-622,COMP100-046-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-047-genus_safe_ambiguous:1-622,COMP100-047-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-048-genus_safe_ambiguous:1-622,COMP100-048-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-049-genus_safe_ambiguous:1-622,COMP100-049-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-050-genus_safe_ambiguous:1-622,COMP100-050-genus_safe_ambiguous,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes aegypti; Aedes albopictus,Aedes,genus,Aedes,genus,pass,genus-safe,taxon_supported
segment:COMP100-051-weak_coverage:1-622,COMP100-051-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-052-weak_coverage:1-622,COMP100-052-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-053-weak_coverage:1-622,COMP100-053-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-054-weak_coverage:1-622,COMP100-054-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-055-weak_coverage:1-622,COMP100-055-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-056-weak_coverage:1-622,COMP100-056-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-057-weak_coverage:1-622,COMP100-057-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-058-weak_coverage:1-622,COMP100-058-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-059-weak_coverage:1-622,COMP100-059-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-060-weak_coverage:1-622,COMP100-060-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-061-weak_coverage:1-622,COMP100-061-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-062-weak_coverage:1-622,COMP100-062-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-063-weak_coverage:1-622,COMP100-063-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-064-weak_coverage:1-622,COMP100-064-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-065-weak_coverage:1-622,COMP100-065-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-066-weak_coverage:1-622,COMP100-066-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-067-weak_coverage:1-622,COMP100-067-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-068-weak_coverage:1-622,COMP100-068-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-069-weak_coverage:1-622,COMP100-069-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-070-weak_coverage:1-622,COMP100-070-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-071-weak_coverage:1-622,COMP100-071-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-072-weak_coverage:1-622,COMP100-072-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-073-weak_coverage:1-622,COMP100-073-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-074-weak_coverage:1-622,COMP100-074-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-075-weak_coverage:1-622,COMP100-075-weak_coverage,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,weak,weak_hypothesis
segment:COMP100-076-metadata_blocked:1-622,COMP100-076-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-077-metadata_blocked:1-622,COMP100-077-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-078-metadata_blocked:1-622,COMP100-078-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-079-metadata_blocked:1-622,COMP100-079-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-080-metadata_blocked:1-622,COMP100-080-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-081-metadata_blocked:1-622,COMP100-081-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-082-metadata_blocked:1-622,COMP100-082-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-083-metadata_blocked:1-622,COMP100-083-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-084-metadata_blocked:1-622,COMP100-084-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-085-metadata_blocked:1-622,COMP100-085-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-086-metadata_blocked:1-622,COMP100-086-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-087-metadata_blocked:1-622,COMP100-087-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-088-metadata_blocked:1-622,COMP100-088-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-089-metadata_blocked:1-622,COMP100-089-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-090-metadata_blocked:1-622,COMP100-090-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-091-metadata_blocked:1-622,COMP100-091-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-092-metadata_blocked:1-622,COMP100-092-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-093-metadata_blocked:1-622,COMP100-093-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-094-metadata_blocked:1-622,COMP100-094-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-095-metadata_blocked:1-622,COMP100-095-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-096-metadata_blocked:1-622,COMP100-096-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-097-metadata_blocked:1-622,COMP100-097-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-098-metadata_blocked:1-622,COMP100-098-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-099-metadata_blocked:1-622,COMP100-099-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
segment:COMP100-100-metadata_blocked:1-622,COMP100-100-metadata_blocked,0cdc7e725c86d815d403725c2565b1b1adcc3ccffc6bd7ed92faabaa85f290b9,Aedes albopictus,Aedes albopictus,species,Aedes albopictus,species,pass,not-publishable,taxon_supported
