claim_id,scenario_id,taxon,region,hypothesis,status,evidence_fields,caveat,recommended_action,records_used,datasets_used
aedes-spain-H01,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Occurrence evidence exists in selected region,supported,"{""gbif_result_count"": 19713, ""records_used"": 120}","This supports only a retained GBIF-mediated occurrence-evidence claim, not abundance or absence.",Use records as evidence context and preserve source_summary.json.,120,4
aedes-spain-H02,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Evidence readiness is sufficient or insufficient for selected purpose,supported,"{""components"": {""citation_provenance"": 100.0, ""issue_explainability"": 100.0, ""sampling_coverage"": 67.5, ""spatial_accuracy"": 98.25, ""taxonomic_confidence"": 100.0, ""temporal_recency"": 100.0}, ""purpose"": ""invasive_watch"", ""readiness_score"": 94.69}",The score is purpose-aware and must be interpreted with the component scores.,Inspect the weakest readiness components before reuse.,120,4
aedes-spain-H03,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Dataset provenance is multi-source or single-source biased,weak,"{""datasets_used"": 4, ""top_dataset_share"": 0.8417}",Single-dataset dominance can reflect publisher or platform bias.,Use dataset_contributions.csv to audit source concentration.,120,4
aedes-spain-H04,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Coordinate quality supports or weakens fine-scale interpretation,weak,"{""high_uncertainty_count"": 6, ""valid_coordinate_rate"": 1.0}",Fine-scale interpretation is unsafe when coordinates are uncertain or invalid.,Review records with high coordinate uncertainty before local decisions.,120,4
aedes-spain-H05,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Temporal completeness supports or blocks time-based interpretation,supported,"{""date_present_rate"": 1.0, ""missing_date_count"": 0}",Temporal claims need eventDate/year; missing dates weaken any time-based inference.,Repair missing eventDate/year before temporal interpretation.,120,4
aedes-spain-H06,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Recent evidence exists or needs verification,supported,"{""current_year_window"": ""last 10 years"", ""recent_record_rate"": 1.0}",Recent records are not trend evidence; they only show recent retained GBIF evidence.,Separate recent occurrence evidence from population trend claims.,120,4
aedes-spain-H07,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Survey-priority cells identify where more sampling is needed,requires_verification,"{""survey_priority_cells"": 4, ""under_sampled_cells"": 2}","Survey priorities are planning hints, not confirmed biodiversity gaps.","Use priority cells to design field/literature review, not to infer absence.",120,4
aedes-spain-H08,aedes-spain,Aedes albopictus,Spain live GBIF bbox,"Empty cells are no-evidence cells, not absence evidence",blocked,"{""empty_cell_count"": 2, ""grid_size"": 4}",GBIF occurrence data cannot prove species absence in empty cells.,Label empty cells as no-evidence and avoid absence claims.,120,4
aedes-spain-H09,aedes-spain,Aedes albopictus,Spain live GBIF bbox,Observed GBIF distribution is not true species distribution,blocked,"{""occupied_cell_count"": 14, ""records_used"": 120}","Observed GBIF distribution is shaped by sampling effort, data sharing and dataset coverage.","Treat maps as evidence context, not a distribution model.",120,4
aedes-spain-H10,aedes-spain,Aedes albopictus,Spain live GBIF bbox,DOI/citation readiness is incomplete until GBIF download DOI or derived dataset is attached,requires_verification,"{""citation_status"": ""online_api_without_download_doi"", ""doi_ready"": false}",API search results are not a DOI-backed publication dataset.,Create a GBIF download DOI or derived dataset recipe before publication use.,120,4
aedes-italy-H01,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Occurrence evidence exists in selected region,supported,"{""gbif_result_count"": 19378, ""records_used"": 120}","This supports only a retained GBIF-mediated occurrence-evidence claim, not abundance or absence.",Use records as evidence context and preserve source_summary.json.,120,3
aedes-italy-H02,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Evidence readiness is sufficient or insufficient for selected purpose,supported,"{""components"": {""citation_provenance"": 100.0, ""issue_explainability"": 100.0, ""sampling_coverage"": 28.75, ""spatial_accuracy"": 99.42, ""taxonomic_confidence"": 100.0, ""temporal_recency"": 100.0}, ""purpose"": ""invasive_watch"", ""readiness_score"": 89.17}",The score is purpose-aware and must be interpreted with the component scores.,Inspect the weakest readiness components before reuse.,120,3
aedes-italy-H03,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Dataset provenance is multi-source or single-source biased,supported,"{""datasets_used"": 3, ""top_dataset_share"": 0.75}",Single-dataset dominance can reflect publisher or platform bias.,Use dataset_contributions.csv to audit source concentration.,120,3
aedes-italy-H04,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Coordinate quality supports or weakens fine-scale interpretation,weak,"{""high_uncertainty_count"": 2, ""valid_coordinate_rate"": 1.0}",Fine-scale interpretation is unsafe when coordinates are uncertain or invalid.,Review records with high coordinate uncertainty before local decisions.,120,3
aedes-italy-H05,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Temporal completeness supports or blocks time-based interpretation,supported,"{""date_present_rate"": 1.0, ""missing_date_count"": 0}",Temporal claims need eventDate/year; missing dates weaken any time-based inference.,Repair missing eventDate/year before temporal interpretation.,120,3
aedes-italy-H06,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Recent evidence exists or needs verification,supported,"{""current_year_window"": ""last 10 years"", ""recent_record_rate"": 1.0}",Recent records are not trend evidence; they only show recent retained GBIF evidence.,Separate recent occurrence evidence from population trend claims.,120,3
aedes-italy-H07,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Survey-priority cells identify where more sampling is needed,requires_verification,"{""survey_priority_cells"": 13, ""under_sampled_cells"": 4}","Survey priorities are planning hints, not confirmed biodiversity gaps.","Use priority cells to design field/literature review, not to infer absence.",120,3
aedes-italy-H08,aedes-italy,Aedes albopictus,Italy live GBIF bbox,"Empty cells are no-evidence cells, not absence evidence",blocked,"{""empty_cell_count"": 9, ""grid_size"": 4}",GBIF occurrence data cannot prove species absence in empty cells.,Label empty cells as no-evidence and avoid absence claims.,120,3
aedes-italy-H09,aedes-italy,Aedes albopictus,Italy live GBIF bbox,Observed GBIF distribution is not true species distribution,blocked,"{""occupied_cell_count"": 7, ""records_used"": 120}","Observed GBIF distribution is shaped by sampling effort, data sharing and dataset coverage.","Treat maps as evidence context, not a distribution model.",120,3
aedes-italy-H10,aedes-italy,Aedes albopictus,Italy live GBIF bbox,DOI/citation readiness is incomplete until GBIF download DOI or derived dataset is attached,requires_verification,"{""citation_status"": ""online_api_without_download_doi"", ""doi_ready"": false}",API search results are not a DOI-backed publication dataset.,Create a GBIF download DOI or derived dataset recipe before publication use.,120,3
aedes-france-H01,aedes-france,Aedes albopictus,France live GBIF bbox,Occurrence evidence exists in selected region,supported,"{""gbif_result_count"": 13689, ""records_used"": 120}","This supports only a retained GBIF-mediated occurrence-evidence claim, not abundance or absence.",Use records as evidence context and preserve source_summary.json.,120,5
aedes-france-H02,aedes-france,Aedes albopictus,France live GBIF bbox,Evidence readiness is sufficient or insufficient for selected purpose,supported,"{""components"": {""citation_provenance"": 100.0, ""issue_explainability"": 100.0, ""sampling_coverage"": 67.5, ""spatial_accuracy"": 99.12, ""taxonomic_confidence"": 100.0, ""temporal_recency"": 100.0}, ""purpose"": ""invasive_watch"", ""readiness_score"": 94.91}",The score is purpose-aware and must be interpreted with the component scores.,Inspect the weakest readiness components before reuse.,120,5
aedes-france-H03,aedes-france,Aedes albopictus,France live GBIF bbox,Dataset provenance is multi-source or single-source biased,supported,"{""datasets_used"": 5, ""top_dataset_share"": 0.6167}",Single-dataset dominance can reflect publisher or platform bias.,Use dataset_contributions.csv to audit source concentration.,120,5
aedes-france-H04,aedes-france,Aedes albopictus,France live GBIF bbox,Coordinate quality supports or weakens fine-scale interpretation,weak,"{""high_uncertainty_count"": 3, ""valid_coordinate_rate"": 1.0}",Fine-scale interpretation is unsafe when coordinates are uncertain or invalid.,Review records with high coordinate uncertainty before local decisions.,120,5
aedes-france-H05,aedes-france,Aedes albopictus,France live GBIF bbox,Temporal completeness supports or blocks time-based interpretation,supported,"{""date_present_rate"": 1.0, ""missing_date_count"": 0}",Temporal claims need eventDate/year; missing dates weaken any time-based inference.,Repair missing eventDate/year before temporal interpretation.,120,5
aedes-france-H06,aedes-france,Aedes albopictus,France live GBIF bbox,Recent evidence exists or needs verification,supported,"{""current_year_window"": ""last 10 years"", ""recent_record_rate"": 1.0}",Recent records are not trend evidence; they only show recent retained GBIF evidence.,Separate recent occurrence evidence from population trend claims.,120,5
aedes-france-H07,aedes-france,Aedes albopictus,France live GBIF bbox,Survey-priority cells identify where more sampling is needed,requires_verification,"{""survey_priority_cells"": 5, ""under_sampled_cells"": 3}","Survey priorities are planning hints, not confirmed biodiversity gaps.","Use priority cells to design field/literature review, not to infer absence.",120,5
aedes-france-H08,aedes-france,Aedes albopictus,France live GBIF bbox,"Empty cells are no-evidence cells, not absence evidence",blocked,"{""empty_cell_count"": 2, ""grid_size"": 4}",GBIF occurrence data cannot prove species absence in empty cells.,Label empty cells as no-evidence and avoid absence claims.,120,5
aedes-france-H09,aedes-france,Aedes albopictus,France live GBIF bbox,Observed GBIF distribution is not true species distribution,blocked,"{""occupied_cell_count"": 14, ""records_used"": 120}","Observed GBIF distribution is shaped by sampling effort, data sharing and dataset coverage.","Treat maps as evidence context, not a distribution model.",120,5
aedes-france-H10,aedes-france,Aedes albopictus,France live GBIF bbox,DOI/citation readiness is incomplete until GBIF download DOI or derived dataset is attached,requires_verification,"{""citation_status"": ""online_api_without_download_doi"", ""doi_ready"": false}",API search results are not a DOI-backed publication dataset.,Create a GBIF download DOI or derived dataset recipe before publication use.,120,5
quercus-western-europe-H01,quercus-western-europe,Quercus robur,Western Europe live bbox,Occurrence evidence exists in selected region,supported,"{""gbif_result_count"": 964852, ""records_used"": 120}","This supports only a retained GBIF-mediated occurrence-evidence claim, not abundance or absence.",Use records as evidence context and preserve source_summary.json.,120,7
quercus-western-europe-H02,quercus-western-europe,Quercus robur,Western Europe live bbox,Evidence readiness is sufficient or insufficient for selected purpose,supported,"{""components"": {""citation_provenance"": 100.0, ""issue_explainability"": 100.0, ""sampling_coverage"": 61.25, ""spatial_accuracy"": 100.0, ""taxonomic_confidence"": 100.0, ""temporal_recency"": 100.0}, ""purpose"": ""sampling_gaps"", ""readiness_score"": 82.56}",The score is purpose-aware and must be interpreted with the component scores.,Inspect the weakest readiness components before reuse.,120,7
quercus-western-europe-H03,quercus-western-europe,Quercus robur,Western Europe live bbox,Dataset provenance is multi-source or single-source biased,supported,"{""datasets_used"": 7, ""top_dataset_share"": 0.3667}",Single-dataset dominance can reflect publisher or platform bias.,Use dataset_contributions.csv to audit source concentration.,120,7
quercus-western-europe-H04,quercus-western-europe,Quercus robur,Western Europe live bbox,Coordinate quality supports or weakens fine-scale interpretation,supported,"{""high_uncertainty_count"": 0, ""valid_coordinate_rate"": 1.0}",Fine-scale interpretation is unsafe when coordinates are uncertain or invalid.,Review records with high coordinate uncertainty before local decisions.,120,7
quercus-western-europe-H05,quercus-western-europe,Quercus robur,Western Europe live bbox,Temporal completeness supports or blocks time-based interpretation,supported,"{""date_present_rate"": 1.0, ""missing_date_count"": 0}",Temporal claims need eventDate/year; missing dates weaken any time-based inference.,Repair missing eventDate/year before temporal interpretation.,120,7
quercus-western-europe-H06,quercus-western-europe,Quercus robur,Western Europe live bbox,Recent evidence exists or needs verification,supported,"{""current_year_window"": ""last 10 years"", ""recent_record_rate"": 1.0}",Recent records are not trend evidence; they only show recent retained GBIF evidence.,Separate recent occurrence evidence from population trend claims.,120,7
quercus-western-europe-H07,quercus-western-europe,Quercus robur,Western Europe live bbox,Survey-priority cells identify where more sampling is needed,requires_verification,"{""survey_priority_cells"": 7, ""under_sampled_cells"": 3}","Survey priorities are planning hints, not confirmed biodiversity gaps.","Use priority cells to design field/literature review, not to infer absence.",120,7
quercus-western-europe-H08,quercus-western-europe,Quercus robur,Western Europe live bbox,"Empty cells are no-evidence cells, not absence evidence",blocked,"{""empty_cell_count"": 4, ""grid_size"": 4}",GBIF occurrence data cannot prove species absence in empty cells.,Label empty cells as no-evidence and avoid absence claims.,120,7
quercus-western-europe-H09,quercus-western-europe,Quercus robur,Western Europe live bbox,Observed GBIF distribution is not true species distribution,blocked,"{""occupied_cell_count"": 12, ""records_used"": 120}","Observed GBIF distribution is shaped by sampling effort, data sharing and dataset coverage.","Treat maps as evidence context, not a distribution model.",120,7
quercus-western-europe-H10,quercus-western-europe,Quercus robur,Western Europe live bbox,DOI/citation readiness is incomplete until GBIF download DOI or derived dataset is attached,requires_verification,"{""citation_status"": ""online_api_without_download_doi"", ""doi_ready"": false}",API search results are not a DOI-backed publication dataset.,Create a GBIF download DOI or derived dataset recipe before publication use.,120,7
quercus-germany-H01,quercus-germany,Quercus robur,Germany live GBIF bbox,Occurrence evidence exists in selected region,supported,"{""gbif_result_count"": 430047, ""records_used"": 120}","This supports only a retained GBIF-mediated occurrence-evidence claim, not abundance or absence.",Use records as evidence context and preserve source_summary.json.,120,6
quercus-germany-H02,quercus-germany,Quercus robur,Germany live GBIF bbox,Evidence readiness is sufficient or insufficient for selected purpose,supported,"{""components"": {""citation_provenance"": 100.0, ""issue_explainability"": 100.0, ""sampling_coverage"": 62.5, ""spatial_accuracy"": 100.0, ""taxonomic_confidence"": 100.0, ""temporal_recency"": 100.0}, ""purpose"": ""sampling_gaps"", ""readiness_score"": 83.12}",The score is purpose-aware and must be interpreted with the component scores.,Inspect the weakest readiness components before reuse.,120,6
quercus-germany-H03,quercus-germany,Quercus robur,Germany live GBIF bbox,Dataset provenance is multi-source or single-source biased,supported,"{""datasets_used"": 6, ""top_dataset_share"": 0.5667}",Single-dataset dominance can reflect publisher or platform bias.,Use dataset_contributions.csv to audit source concentration.,120,6
quercus-germany-H04,quercus-germany,Quercus robur,Germany live GBIF bbox,Coordinate quality supports or weakens fine-scale interpretation,supported,"{""high_uncertainty_count"": 0, ""valid_coordinate_rate"": 1.0}",Fine-scale interpretation is unsafe when coordinates are uncertain or invalid.,Review records with high coordinate uncertainty before local decisions.,120,6
quercus-germany-H05,quercus-germany,Quercus robur,Germany live GBIF bbox,Temporal completeness supports or blocks time-based interpretation,supported,"{""date_present_rate"": 1.0, ""missing_date_count"": 0}",Temporal claims need eventDate/year; missing dates weaken any time-based inference.,Repair missing eventDate/year before temporal interpretation.,120,6
quercus-germany-H06,quercus-germany,Quercus robur,Germany live GBIF bbox,Recent evidence exists or needs verification,supported,"{""current_year_window"": ""last 10 years"", ""recent_record_rate"": 1.0}",Recent records are not trend evidence; they only show recent retained GBIF evidence.,Separate recent occurrence evidence from population trend claims.,120,6
quercus-germany-H07,quercus-germany,Quercus robur,Germany live GBIF bbox,Survey-priority cells identify where more sampling is needed,requires_verification,"{""survey_priority_cells"": 5, ""under_sampled_cells"": 1}","Survey priorities are planning hints, not confirmed biodiversity gaps.","Use priority cells to design field/literature review, not to infer absence.",120,6
quercus-germany-H08,quercus-germany,Quercus robur,Germany live GBIF bbox,"Empty cells are no-evidence cells, not absence evidence",blocked,"{""empty_cell_count"": 4, ""grid_size"": 4}",GBIF occurrence data cannot prove species absence in empty cells.,Label empty cells as no-evidence and avoid absence claims.,120,6
quercus-germany-H09,quercus-germany,Quercus robur,Germany live GBIF bbox,Observed GBIF distribution is not true species distribution,blocked,"{""occupied_cell_count"": 12, ""records_used"": 120}","Observed GBIF distribution is shaped by sampling effort, data sharing and dataset coverage.","Treat maps as evidence context, not a distribution model.",120,6
quercus-germany-H10,quercus-germany,Quercus robur,Germany live GBIF bbox,DOI/citation readiness is incomplete until GBIF download DOI or derived dataset is attached,requires_verification,"{""citation_status"": ""online_api_without_download_doi"", ""doi_ready"": false}",API search results are not a DOI-backed publication dataset.,Create a GBIF download DOI or derived dataset recipe before publication use.,120,6
